model,model_color,reference_key,reference,comparison_key,comparison,domain,metric,difference,ci_low,ci_high,verdict,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,accuracy,0.00111358574610243,-0.01781786851991167,0.020044543429844075,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,macro_f1,-0.0018507651559351579,-0.017469520763122366,0.013646345661972224,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,qwk,-0.014620011167509106,-0.05915474441058686,0.03189272692719909,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_accuracy,0.015590200445434244,-0.0033407572383074013,0.03551707978788996,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_macro_f1,0.013446799973407919,-0.00482257434898668,0.03283775977007564,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,accuracy,0.0011135857461024856,-0.025583982202447147,0.02692762830094656,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,macro_f1,-0.025240381768683956,-0.04980910303845453,-0.0006141599901131583,reference better,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,qwk,-0.023070594816004597,-0.05959414569671014,0.01600559578200921,comparable,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_accuracy,0.03674832962138086,0.004459308807134908,0.06815833052129032,comparison better,2000,participant,301,898,20260919
GPT-4o-mini,#0173B2,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_macro_f1,-0.0012897079059456251,-0.030635417956903083,0.029268738973566334,comparable,2000,participant,301,898,20260919
