Source_File,Exists,Raw_Result_Rows,Rows_After_Error_Filter,Rows_Removed_As_Duplicates,Rows_After_Duplicate_Filter,Duplicate_Filter,Model,Method,Category,Split
results_manuscript_gpt-4o-mini/generic_llm_1_zero_shot_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-4o-mini,Zero-shot (all),Generic LLM,digital_twin_7030
results_manuscript_gpt-4o-mini/generic_llm_2_zero_shot_select_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-4o-mini,Zero-shot (select),Generic LLM,digital_twin_7030
results_manuscript_gpt-4o-mini/generic_llm_3_few_shot_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-4o-mini,Few-shot (all),Generic LLM,digital_twin_7030
results_manuscript_gpt-4o-mini/generic_llm_4_few_shot_select_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-4o-mini,Few-shot (select),Generic LLM,digital_twin_7030
results_manuscript_gpt-4o-mini/generic_llm_5_continuous_dt7030.json,False,0,0,0,0,known_dt7030_duplicates,GPT-4o-mini,Zero-shot (w/ prob),Generic LLM,digital_twin_7030
results_manuscript_gpt-4o-mini/digital_twin_4_cbtact_7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-4o-mini,PP,Personalized Prompt,digital_twin_7030
results_manuscript_hybrid_gpt-4o-mini/evaluation_results_gpt-4o-mini_text-only_hybrid-rf-digital-twin.json,True,323,323,16,307,known_dt7030_duplicates,GPT-4o-mini,Hybrid RF+PP,Hybrid,digital_twin_7030
results_manuscript_gpt-5/generic_llm_1_zero_shot_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-5,Zero-shot (all),Generic LLM,digital_twin_7030
results_manuscript_gpt-5/generic_llm_2_zero_shot_select_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-5,Zero-shot (select),Generic LLM,digital_twin_7030
results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-5,Few-shot (all),Generic LLM,digital_twin_7030
results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,True,323,323,16,307,known_dt7030_duplicates,GPT-5,Few-shot (select),Generic LLM,digital_twin_7030
results_manuscript_gpt-5/generic_llm_5_continuous_dt7030.json,False,0,0,0,0,known_dt7030_duplicates,GPT-5,Zero-shot (w/ prob),Generic LLM,digital_twin_7030
