model,condition_key,n_saved_rows,n_expected_rows,complete,status,file_sha256,violations
GPT-4o-mini,pp_cbtact,898,898,True,PASS,6d52d87306cfd19c3b3f6a2cb7d15de07d7402ac146e19d8a439d4f745131a74,
GPT-4o-mini,full_pp_no_cbtact,898,898,True,PASS,e9ba949e44b85df1be79041cb02289c14c86ea9917dea9c899f45bd6279616bb,
GPT-4o-mini,history_ratings_only,898,898,True,PASS,ac069f85f171c28d9ac485eb31f9d440e3affc0d92921bc9236769ad99b4ccb6,
GPT-4o-mini,history_text_only,898,898,True,PASS,c646806eae5b79584634cf830d3b299020ea84bb8325a0f161a21a343d04bf6e,
GPT-5,pp_cbtact,898,898,True,PASS,7dad546328dba712582dba17d3ebd64006a4c15c412d24975ba20fbd37c25500,
GPT-5,full_pp_no_cbtact,898,898,True,PASS,0250831cad432e7d8ecdb21b239c3a1a9053a6d1296bd728aa5fd6cf13724079,
GPT-5,history_ratings_only,898,898,True,PASS,a5fdc243143dcf6f0019d212116232e2ec64f975a713deb23c07af2a8460939e,
GPT-5,history_text_only,898,898,True,PASS,aa35c0cc751e8f46cd58adbdc0b26902311a87671de7f7c3e41d06c85cd97b74,
DeepSeek-R1,pp_cbtact,898,898,True,PASS,495b85d67a8deb2783ba30003c4e3d4bbc828026d92c4e2d7fd972891e650226,
DeepSeek-R1,full_pp_no_cbtact,898,898,True,PASS,58bbec9ead758a86ab19f53a69b04caa22082c2384c8e512e401ea7c2b3c0fcf,
DeepSeek-R1,history_ratings_only,898,898,True,PASS,56b31531aae350850acbfdb0bd1bc6496ed5269fbdd424bdd22390a698bafb56,
DeepSeek-R1,history_text_only,898,898,True,PASS,1103db8121d30d05509baa3540e99739d0fddcd1694674f6d357d4ef76f4d5bc,
Grok-4.3,pp_cbtact,898,898,True,PASS,c5c17b42b681d6191d020fbfa578a1c3c51c17b7a93b35c04c67bdcd5a0b1d58,
Grok-4.3,full_pp_no_cbtact,898,898,True,PASS,b9a25c56b6145afb61f145bc5b73a6ebd033e4c897342c4da20201bae44b3ba6,
Grok-4.3,history_ratings_only,898,898,True,PASS,aff312a21976b77048dd03f68588c39e02679362f649f8a798e03520ce84bf46,
Grok-4.3,history_text_only,898,898,True,PASS,eccf19f17d917773fea1013f95a585d9198237ded8f12d8fb314216889fe8b5a,
Gemini-2.5-Pro,pp_cbtact,898,898,True,PASS,fcf0e2c259eb58bbc7a603883429cd953a93d1dbdc2b2f61034bd7e01082793c,
Gemini-2.5-Pro,full_pp_no_cbtact,898,898,True,PASS,2c97d10599c926f8f8e013801a2c9a882d984e5f9cf4bc6a1e3ce652b111b69f,
Gemini-2.5-Pro,history_ratings_only,898,898,True,PASS,1ed7220361cc3dc777b674b86b2d3c4d840107a7a07339644a0c8f54ad0fee8d,
Gemini-2.5-Pro,history_text_only,898,898,True,PASS,1a401b16f98ebf14a4c9dc50719119ed04d72418a9fdaf68a9baaa53d9252ba9,
